Country,Product,Units Sold,Revenue,Cost,Profit,Date
India, Chocolate Chip ,1725,8625,3450,5175,11/1/2019
India, Chocolate Chip ,2152,10760,4304,6456,12/1/2019
India, Chocolate Chip ,2349,11745,4698,7047,9/1/2019
India, Chocolate Chip ,1228,6140,2456,3684,10/1/2019
India, Chocolate Chip ,1389,6945,2778,4167,10/1/2019
India, Chocolate Chip ,1802,9010,3604,5406,12/1/2019
India, Chocolate Chip ,2299,11495,4598,6897,10/1/2019
India, Chocolate Chip ,1404,7020,2808,4212,11/1/2019
India, Chocolate Chip ,2470,12350,4940,7410,9/1/2019
India, Chocolate Chip ,1743,8715,3486,5229,10/1/2019
India, Chocolate Chip ,2222,11110,4444,6666,11/1/2019
India, Fortune Cookie ,345,345,69,276,10/1/2019
India, Fortune Cookie ,2851,2851,570,2281,10/1/2019
India, Fortune Cookie ,1283,1283,257,1026,9/1/2019
India, Fortune Cookie ,1611,1611,322,1289,12/1/2019
India, Oatmeal Raisin ,1778,8890,3912,4978,12/1/2019
India, Oatmeal Raisin ,1228,6140,2702,3438,10/1/2019
India, Oatmeal Raisin ,2761,13805,6074,7731,9/1/2019
India, Oatmeal Raisin ,1743,8715,3835,4880,10/1/2019
India, Snickerdoodle ,908,3632,1362,2270,12/1/2019
India, Snickerdoodle ,2851,11404,4277,7128,10/1/2019
India, Snickerdoodle ,2299,9196,3449,5748,10/1/2019
India, Snickerdoodle ,1560,6240,2340,3900,11/1/2019
India, Snickerdoodle ,2416,9664,3624,6040,9/1/2019
India, Sugar ,1389,4167,1736,2431,10/1/2019
India, Sugar ,2436,7308,3045,4263,12/1/2019
India, Sugar ,2935,8805,3669,5136,11/1/2019
India, Sugar ,623,1869,779,1090,9/1/2019
India, Sugar ,269,807,336,471,10/1/2019
India, Sugar ,2954,8862,3693,5170,11/1/2019
India, White Chocolate Macadamia Nut ,345,2070,949,1121,10/1/2019
India, White Chocolate Macadamia Nut ,2092,12552,5753,6799,11/1/2019
India, White Chocolate Macadamia Nut ,2646,15876,7277,8600,9/1/2019
India, White Chocolate Macadamia Nut ,1916,11496,5269,6227,12/1/2019
India, White Chocolate Macadamia Nut ,269,1614,740,874,10/1/2019
United Kingdom, Chocolate Chip ,549,2745,1098,1647,9/1/2019
United Kingdom, Chocolate Chip ,1785,8925,3570,5355,11/1/2019
United Kingdom, Chocolate Chip ,2261,11305,4522,6783,12/1/2019
United Kingdom, Chocolate Chip ,704,3520,1408,2112,10/1/2019
United Kingdom, Chocolate Chip ,2136,10680,4272,6408,12/1/2019
United Kingdom, Chocolate Chip ,1757,8785,3514,5271,10/1/2019
United Kingdom, Chocolate Chip ,1031,5155,2062,3093,9/1/2019
United Kingdom, Chocolate Chip ,2167,10835,4334,6501,10/1/2019
United Kingdom, Chocolate Chip ,1198,5990,2396,3594,10/1/2019
United Kingdom, Chocolate Chip ,1922,9610,3844,5766,11/1/2019
United Kingdom, Fortune Cookie ,1403,1403,281,1122,10/1/2019
United Kingdom, Fortune Cookie ,1757,1757,351,1406,10/1/2019
United Kingdom, Fortune Cookie ,322,322,64,258,9/1/2019
United Kingdom, Fortune Cookie ,1857,1857,371,1486,11/1/2019
United Kingdom, Fortune Cookie ,1186,1186,237,949,12/1/2019
United Kingdom, Oatmeal Raisin ,321,1605,706,899,11/1/2019
United Kingdom, Oatmeal Raisin ,1403,7015,3087,3928,10/1/2019
United Kingdom, Oatmeal Raisin ,2076,10380,4567,5813,10/1/2019
United Kingdom, Oatmeal Raisin ,306,1530,673,857,12/1/2019
United Kingdom, Snickerdoodle ,2145,8580,3218,5363,11/1/2019
United Kingdom, Snickerdoodle ,1482,5928,2223,3705,12/1/2019
United Kingdom, Snickerdoodle ,1198,4792,1797,2995,10/1/2019
United Kingdom, Snickerdoodle ,1023,4092,1535,2558,9/1/2019
United Kingdom, Sugar ,1527,4581,1909,2672,9/1/2019
United Kingdom, Sugar ,1221,3663,1526,2137,10/1/2019
United Kingdom, Sugar ,2234,6702,2793,3910,9/1/2019
United Kingdom, Sugar ,2682,8046,3353,4694,11/1/2019
United Kingdom, Sugar ,2167,6501,2709,3792,10/1/2019
United Kingdom, Sugar ,1281,3843,1601,2242,12/1/2019
United Kingdom, White Chocolate Macadamia Nut ,704,4224,1936,2288,10/1/2019
United Kingdom, White Chocolate Macadamia Nut ,1033,6198,2841,3357,12/1/2019
United Kingdom, White Chocolate Macadamia Nut ,1221,7326,3358,3968,10/1/2019
United Kingdom, White Chocolate Macadamia Nut ,2076,12456,5709,6747,10/1/2019
United Kingdom, White Chocolate Macadamia Nut ,386,2316,1062,1255,11/1/2019
United Kingdom, White Chocolate Macadamia Nut ,2805,16830,7714,9116,9/1/2019
Philippines, Chocolate Chip ,766,3830,1532,2298,10/1/2019
Philippines, Chocolate Chip ,809,4045,1618,2427,10/1/2019
Philippines, Chocolate Chip ,1945,9725,3890,5835,10/1/2019
Philippines, Chocolate Chip ,2116,10580,4232,6348,12/1/2019
Philippines, Chocolate Chip ,1123,5615,2246,3369,9/1/2019
Philippines, Chocolate Chip ,2125,10625,4250,6375,12/1/2019
Philippines, Chocolate Chip ,2409,12045,4818,7227,9/1/2019
Philippines, Chocolate Chip ,2146,10730,4292,6438,11/1/2019
Philippines, Chocolate Chip ,1775,8875,3550,5325,11/1/2019
Philippines, Chocolate Chip ,2992,14960,5984,8976,10/1/2019
Philippines, Fortune Cookie ,1797,1797,359,1438,9/1/2019
Philippines, Fortune Cookie ,1159,1159,232,927,10/1/2019
Philippines, Fortune Cookie ,2500,2500,500,2000,11/1/2019
Philippines, Fortune Cookie ,334,334,67,267,12/1/2019
